[14/Sep/2023:06:52:14 +0000] - 404 404 - GET http pocketbase.chungkhoanso1.vn "/" [Client 118.69.186.57] [Length 46] [Gzip -] [Sent-to pocketbase] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://103.75.186.187:81/"
[14/Sep/2023:06:52:14 +0000] - 404 404 - GET http pocketbase.chungkhoanso1.vn "/favicon.ico" [Client 118.69.186.57] [Length 46] [Gzip -] [Sent-to pocketbase] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://pocketbase.chungkhoanso1.vn/"
[14/Sep/2023:06:52:19 +0000] - 200 200 - GET http pocketbase.chungkhoanso1.vn "/_/" [Client 118.69.186.57] [Length 908] [Gzip -] [Sent-to pocketbase] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "-"
[14/Sep/2023:06:52:19 +0000] - 200 200 - GET http pocketbase.chungkhoanso1.vn "/_/assets/index-51d240f2.css" [Client 118.69.186.57] [Length 38743] [Gzip -] [Sent-to pocketbase] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://pocketbase.chungkhoanso1.vn/_/"
[14/Sep/2023:06:52:19 +0000] - 200 200 - GET http pocketbase.chungkhoanso1.vn "/_/libs/tinymce/models/dom/model.min.js" [Client 118.69.186.57] [Length 32915] [Gzip -] [Sent-to pocketbase] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://pocketbase.chungkhoanso1.vn/_/"
[14/Sep/2023:06:52:19 +0000] - 200 200 - GET http pocketbase.chungkhoanso1.vn "/_/libs/tinymce/tinymce.min.js" [Client 118.69.186.57] [Length 149592] [Gzip -] [Sent-to pocketbase] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://pocketbase.chungkhoanso1.vn/_/"
[14/Sep/2023:06:52:19 +0000] - 200 200 - GET http pocketbase.chungkhoanso1.vn "/_/assets/index-1320cae2.js" [Client 118.69.186.57] [Length 295043] [Gzip -] [Sent-to pocketbase] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://pocketbase.chungkhoanso1.vn/_/"
[14/Sep/2023:06:52:19 +0000] - 200 200 - GET http pocketbase.chungkhoanso1.vn "/_/libs/tinymce/themes/silver/theme.min.js" [Client 118.69.186.57] [Length 125467] [Gzip -] [Sent-to pocketbase] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://pocketbase.chungkhoanso1.vn/_/"
[14/Sep/2023:06:52:19 +0000] - 200 200 - GET http pocketbase.chungkhoanso1.vn "/api/settings" [Client 118.69.186.57] [Length 5146] [Gzip -] [Sent-to pocketbase] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://pocketbase.chungkhoanso1.vn/_/"
[14/Sep/2023:06:52:19 +0000] - 200 200 - GET http pocketbase.chungkhoanso1.vn "/api/collections?page=1&perPage=200&skipTotal=1&sort=%2Bname" [Client 118.69.186.57] [Length 3583] [Gzip -] [Sent-to pocketbase] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://pocketbase.chungkhoanso1.vn/_/"
[14/Sep/2023:06:52:19 +0000] - 200 200 - GET http pocketbase.chungkhoanso1.vn "/_/fonts/remixicon/remixicon.woff2?v=1" [Client 118.69.186.57] [Length 143086] [Gzip -] [Sent-to pocketbase] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://pocketbase.chungkhoanso1.vn/_/assets/index-51d240f2.css"
